,ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
6783,6783, o5090g0060o.97375.cm, ./smf_downloads/3PI.2009-09-16/o5090g0060o.97375.cm.1157866.smf, PS1_V5, 2455090.814689986, 316.087284, -15.701166, i.00000, 60.0,0.6935164742617385,-0.667682331,-0.2706200372158344,0.9988061790144288,-0.10536555,-0.0456532615026143,0.9988061790144288,-0.114830827,0.0000259602696362
6792,6792, o5090g0069o.97385.cm, ./smf_downloads/3PI.2009-09-16/o5090g0069o.97385.cm.1157873.smf, PS1_V5, 2455090.825282307, 316.087285, -15.701149, i.00000, 60.0,0.6935165437589554,-0.667682375,-0.2706197515810653,0.9988259711069181,-0.105198158,-0.0455814922558416,0.9988259711069181,-0.114648699,0.0000252224607364
6794,6794, o5090g0078o.97393.cm, ./smf_downloads/3PI.2009-09-16/o5090g0078o.97393.cm.1173616.smf, PS1_V5, 2455090.8368435744, 326.513478, -13.293419, i.00000, 60.0,0.8116684270158134,-0.536957075,-0.2299379562306107,0.9988473898032810,-0.105015309,-0.0455031559292068,0.9988473898032810,-0.114449778,0.0000243614701064
6797,6797, o5090g0081o.97396.cm, ./smf_downloads/3PI.2009-09-16/o5090g0081o.97396.cm.1172460.smf, PS1_V5, 2455090.839644005, 319.784437, -19.462212, i.00000, 60.0,0.7199884917575819,-0.608772755,-0.3331850910341783,0.9988525479456006,-0.104970997,-0.0454841805968372,0.9988525479456006,-0.114401574,0.0000241446620960
6798,6798, o5090g0082o.97397.cm, ./smf_downloads/3PI.2009-09-16/o5090g0082o.97397.cm.1172348.smf, PS1_V5, 2455090.8405636493, 321.295014, -14.579701, i.00000, 60.0,0.7552466497352932,-0.605174577,-0.2517264981825477,0.9988542392393938,-0.104956443,-0.0454779491886156,0.9988542392393938,-0.114385743,0.0000240727880215
6801,6801, o5090g0085o.97400.cm, ./smf_downloads/3PI.2009-09-16/o5090g0085o.97400.cm.1173068.smf, PS1_V5, 2455090.8432757147, 325.128298, -18.265825, i.00000, 60.0,0.7790947964304503,-0.542932204,-0.3134260998710549,0.9988592193525356,-0.104913519,-0.0454595724592440,0.9988592193525356,-0.114339051,0.0000238589163423
6804,6804, o5090g0088o.97403.cm, ./smf_downloads/3PI.2009-09-16/o5090g0088o.97403.cm.1173558.smf, PS1_V5, 2455090.845965143, 326.513494, -13.293413, i.00000, 60.0,0.8116685970447844,-0.536956862,-0.2299378543167898,0.9988641466307026,-0.104870946,-0.0454413490096875,0.9988641466307026,-0.114292742,0.0000236440574628
6807,6807, o5090g0091o.97406.cm, ./smf_downloads/3PI.2009-09-16/o5090g0091o.97406.cm.1172349.smf, PS1_V5, 2455090.8498365786, 319.784463, -19.462211, i.00000, 60.0,0.7199887724504119,-0.608772432,-0.3331850745781417,0.9988712195204484,-0.10480965,-0.0454151161386056,0.9988712195204484,-0.114226069,0.0000233300454323
6808,6808, o5090g0092o.97408.cm, ./smf_downloads/3PI.2009-09-16/o5090g0092o.97408.cm.1172467.smf, PS1_V5, 2455090.851203152, 321.294923, -14.579715, i.00000, 60.0,0.7552456405664193,-0.605175738,-0.2517267346603037,0.9988737104980503,-0.10478801,-0.0454058561762042,0.9988737104980503,-0.114202532,0.0000232179023658
6811,6811, o5090g0095o.97410.cm, ./smf_downloads/3PI.2009-09-16/o5090g0095o.97410.cm.1173069.smf, PS1_V5, 2455090.8548519704, 325.128289, -18.265807, i.00000, 60.0,0.7790947919314565,-0.542932383,-0.3134258015414443,0.9988803468731866,-0.104730221,-0.0453811314827606,0.9988803468731866,-0.114139676,0.0000229152389454
6814,6814, o5090g0099o.97414.cm, ./smf_downloads/3PI.2009-09-16/o5090g0099o.97414.cm.1173559.smf, PS1_V5, 2455090.861593588, 326.513471, -13.293407, i.00000, 60.0,0.8116684015787065,-0.536957201,-0.2299377524029663,0.9988925514881380,-0.104623418,-0.0453354492083523,0.9988925514881380,-0.114023515,0.0000223441027242
6816,6816, o5090g0102o.97417.cm, ./smf_downloads/3PI.2009-09-16/o5090g0102o.97417.cm.1162084.smf, PS1_V5, 2455090.8663927303, 325.953027, -21.07356, i.00000, 60.0,0.7731631321111806,-0.522427877,-0.3595662443511327,0.9989011938658903,-0.104547365,-0.0453029290402737,0.9989011938658903,-0.113940802,0.0000219285693412
6818,6818, o5090g0104o.97419.cm, ./smf_downloads/3PI.2009-09-16/o5090g0104o.97419.cm.1157874.smf, PS1_V5, 2455090.8682052884, 316.778426, -18.564963, i.00000, 60.0,0.6907910973427905,-0.649185674,-0.3183796788797884,0.9989044479289706,-0.104518636,-0.0452906466115851,0.9989044479289706,-0.113909558,0.0000217697819866
6820,6820, o5090g0106o.97421.cm, ./smf_downloads/3PI.2009-09-16/o5090g0106o.97421.cm.1172351.smf, PS1_V5, 2455090.8699759394, 322.067811, -17.456329, i.00000, 60.0,0.7524141727316007,-0.586417633,-0.2999787865558996,0.9989076214075426,-0.104490568,-0.0452786481109654,0.9989076214075426,-0.113879034,0.0000216137187807
6824,6824, o5090g0110o.97425.cm, ./smf_downloads/3PI.2009-09-16/o5090g0110o.97425.cm.1168585.smf, PS1_V5, 2455090.8754051216, 323.520952, -12.496015, i.00000, 60.0,0.7850266528427631,-0.580445034,-0.2163717106891596,0.9989173187209321,-0.104404494,-0.0452418579335192,0.9989173187209321,-0.113785428,0.0000211295682752
6827,6827, o5090g0113o.97428.cm, ./smf_downloads/3PI.2009-09-16/o5090g0113o.97428.cm.1157875.smf, PS1_V5, 2455090.878960992, 318.31547, -13.721584, i.00000, 60.0,0.7255034637884080,-0.646048704,-0.2372041233335576,0.9989236426103371,-0.104348107,-0.0452177617799507,0.9989236426103371,-0.113724109,0.0000208080745810
6828,6828, o5090g0114o.97429.cm, ./smf_downloads/3PI.2009-09-16/o5090g0114o.97429.cm.1162086.smf, PS1_V5, 2455090.8804185637, 325.953042, -21.073542, i.00000, 60.0,0.7731633624795818,-0.522427738,-0.3595659512029590,0.9989262284833510,-0.104324992,-0.0452078845753645,0.9989262284833510,-0.113698972,0.0000206753324868
6830,6830, o5090g0116o.97431.cm, ./smf_downloads/3PI.2009-09-16/o5090g0116o.97431.cm.1157884.smf, PS1_V5, 2455090.883053367, 316.778441, -18.564967, i.00000, 60.0,0.6907912511020489,-0.649185478,-0.3183797450601093,0.9989308934899320,-0.104283203,-0.0451900298021712,0.9989308934899320,-0.113653529,0.0000204340122757
6832,6832, o5090g0118o.97433.cm, ./smf_downloads/3PI.2009-09-16/o5090g0118o.97433.cm.1172353.smf, PS1_V5, 2455090.8859156272, 322.067806, -17.456371, i.00000, 60.0,0.7524139481163479,-0.586417563,-0.2999794858346662,0.9989359474428964,-0.104237801,-0.0451706335469382,0.9989359474428964,-0.113604159,0.0000201699315581
6836,6836, o5090g0122o.97437.cm, ./smf_downloads/3PI.2009-09-16/o5090g0122o.97437.cm.1168592.smf, PS1_V5, 2455090.891207876, 323.520958, -12.495974, i.00000, 60.0,0.7850268381233453,-0.580445044,-0.2163710120555619,0.9989452540056126,-0.104153841,-0.0451347700236093,0.9989452540056126,-0.113512861,0.0000196766504562
6839,6839, o5090g0125o.97440.cm, ./smf_downloads/3PI.2009-09-16/o5090g0125o.97440.cm.1157885.smf, PS1_V5, 2455090.895100088, 318.315475, -13.721581, i.00000, 60.0,0.7255035294422507,-0.646048649,-0.2372040724680395,0.9989520667717408,-0.104092081,-0.0451083937428699,0.9989520667717408,-0.113445706,0.0000193099871015
7010,7010, o5091g0080o.97802.cm, ./smf_downloads/3PI.2009-09-17/o5091g0080o.97802.cm.1162088.smf, PS1_V5, 2455091.799055953, 325.953795, -21.072991, i.00000, 60.0,0.7731730934308157,-0.522419513,-0.3595569775944735,1.0003253506995771,-0.089969644,-0.0389771886129983,1.0003253506995771,-0.098049769,0.0000269975759196
7012,7012, o5091g0082o.97804.cm, ./smf_downloads/3PI.2009-09-17/o5091g0082o.97804.cm.1157889.smf, PS1_V5, 2455091.8007528144, 316.779026, -18.564617, i.00000, 60.0,0.6907992966138469,-0.649179757,-0.3183739542761569,1.0003280652698321,-0.089942814,-0.0389656703692743,1.0003280652698321,-0.098020572,0.0000268931853843
7014,7014, o5091g0084o.97806.cm, ./smf_downloads/3PI.2009-09-17/o5091g0084o.97806.cm.1172354.smf, PS1_V5, 2455091.802647259, 322.06838, -17.455895, i.00000, 60.0,0.7524217885735706,-0.586411558,-0.2999715606658734,1.0003310915901544,-0.089912856,-0.0389528108931937,1.0003310915901544,-0.097987971,0.0000267749588723
7018,7018, o5091g0088o.97810.cm, ./smf_downloads/3PI.2009-09-17/o5091g0088o.97810.cm.1168596.smf, PS1_V5, 2455091.8064332353, 323.516004, -12.48228, i.00000, 60.0,0.7850182045073991,-0.58054365,-0.2161376622377325,1.0003371256658720,-0.089852973,-0.0389271115809446,1.0003371256658720,-0.097922807,0.0000265334409335
7021,7021, o5091g0091o.97813.cm, ./smf_downloads/3PI.2009-09-17/o5091g0091o.97813.cm.1157899.smf, PS1_V5, 2455091.80922084, 318.315797, -13.721465, i.00000, 60.0,0.7255075188498959,-0.646044891,-0.2372021056675057,1.0003415564889273,-0.08980887,-0.0389081891259099,1.0003415564889273,-0.097874816,0.0000263512070758
7022,7022, o5091g0092o.97814.cm, ./smf_downloads/3PI.2009-09-17/o5091g0092o.97814.cm.1162090.smf, PS1_V5, 2455091.810210242, 325.953046, -21.073567, i.00000, 60.0,0.7731632689558764,-0.522427596,-0.3595663583531906,1.0003431266228082,-0.089793214,-0.0389014729751955,1.0003431266228082,-0.09785778,0.0000262856409119
7024,7024, o5091g0094o.97816.cm, ./smf_downloads/3PI.2009-09-17/o5091g0094o.97816.cm.1157900.smf, PS1_V5, 2455091.8122882578, 316.778618, -18.564881, i.00000, 60.0,0.6907936048223746,-0.649183672,-0.3183783221828677,1.0003464200361969,-0.089760329,-0.0388873671707508,1.0003464200361969,-0.097821998,0.0000261464389097
7026,7026, o5091g0096o.97818.cm, ./smf_downloads/3PI.2009-09-17/o5091g0096o.97818.cm.1172461.smf, PS1_V5, 2455091.814054406, 322.067947, -17.456346, i.00000, 60.0,0.7524154944761386,-0.586415792,-0.2999790695973246,1.0003492145550195,-0.089732375,-0.0388753783172150,1.0003492145550195,-0.097791582,0.0000260265504834
7030,7030, o5091g0100o.97822.cm, ./smf_downloads/3PI.2009-09-17/o5091g0100o.97822.cm.1168597.smf, PS1_V5, 2455091.817910139, 323.520948, -12.495973, i.00000, 60.0,0.7850267398530568,-0.580445183,-0.2163709950157167,1.0003553004017944,-0.089671335,-0.0388492049382141,1.0003553004017944,-0.097725167,0.0000257598561801
7033,7033, o5091g0103o.97825.cm, ./smf_downloads/3PI.2009-09-17/o5091g0103o.97825.cm.1157907.smf, PS1_V5, 2455091.8208426996, 318.315498, -13.721599, i.00000, 60.0,0.7255037331299282,-0.646048308,-0.2372043776611386,1.0003599151845450,-0.089624898,-0.0388292980876921,1.0003599151845450,-0.097674644,0.0000255525372939
39343,39343, o5330g0502o.167574.cm, ./smf_downloads/SS.2010-05-14/o5330g0502o.167574.cm.468770.smf, PS1_V3, 2455331.092409024, 352.772789, 1.077472, w.00000, 30.0,0.9918796538142340,-0.125782152,0.0188043256117402,-0.6006386966453712,-0.745841753,-0.3233096481511379,-0.6006386966453712,-0.812901622,0.0000480085430228
39344,39344, o5330g0503o.167575.cm, ./smf_downloads/SS.2010-05-14/o5330g0503o.167575.cm.468776.smf, PS1_V3, 2455331.0929192156, 352.83531, -1.478011, w.00000, 30.0,0.9918616481234618,-0.124680298,-0.0257932974522770,-0.6006316555747030,-0.745846529,-0.3233117367307400,-0.6006316555747030,-0.812906834,0.0000479920117804
39345,39345, o5330g0504o.167576.cm, ./smf_downloads/SS.2010-05-14/o5330g0504o.167576.cm.468780.smf, PS1_V3, 2455331.093443234, 355.20513, -0.286161, w.00000, 30.0,0.9964879187845129,-0.083587579,-0.0049944308767696,-0.6006244237763716,-0.745851433,-0.3233138818882360,-0.6006244237763716,-0.812912188,0.0000479748714648
39346,39346, o5330g0505o.167577.cm, ./smf_downloads/SS.2010-05-14/o5330g0505o.167577.cm.468785.smf, PS1_V3, 2455331.0939529953, 355.161282, 2.25829, w.00000, 30.0,0.9956621991736675,-0.084285699,0.0394043915935647,-0.6006173888296226,-0.745856204,-0.3233159686569496,-0.6006173888296226,-0.812917395,0.0000479580410640
39347,39347, o5330g0506o.167578.cm, ./smf_downloads/SS.2010-05-14/o5330g0506o.167578.cm.468791.smf, PS1_V3, 2455331.094507502, 357.593151, 0.934446, w.00000, 30.0,0.9989849431760803,-0.041989501,0.0163084363830778,-0.6006097364814884,-0.745861393,-0.3233182385685762,-0.6006097364814884,-0.812923059,0.0000479395583710
39358,39358, o5330g0517o.167589.cm, ./smf_downloads/SS.2010-05-14/o5330g0517o.167589.cm.468842.smf, PS1_V3, 2455331.100515643, 352.771797, 1.077371, w.00000, 30.0,0.9918775087983491,-0.125799329,0.0188025631408563,-0.6005268299727859,-0.745917585,-0.3233428314612897,-0.6005268299727859,-0.812984396,0.0000477276704974
39359,39359, o5330g0518o.167590.cm, ./smf_downloads/SS.2010-05-14/o5330g0518o.167590.cm.468846.smf, PS1_V3, 2455331.10102981, 352.834337, -1.478139, w.00000, 30.0,0.9918594734777290,-0.124697135,-0.0257955307303908,-0.6005197356468882,-0.745922391,-0.3233449359233051,-0.6005197356468882,-0.812989642,0.0000477085543201
39360,39360, o5330g0519o.167591.cm, ./smf_downloads/SS.2010-05-14/o5330g0519o.167591.cm.468851.smf, PS1_V3, 2455331.101584183, 355.204193, -0.286349, w.00000, 30.0,0.9964865353463233,-0.083603874,-0.0049977120548123,-0.6005120866946541,-0.745927572,-0.3233472049193626,-0.6005120866946541,-0.812995298,0.0000476877706856
39361,39361, o5330g0520o.167593.cm, ./ecliptic-cat/ecliptic/23:00hr/o5330g0520o.167593/o5330g0520o.167593.cm.468863.smf, PS1_V3, 2455331.1021200353, 355.16037, 2.2581, w.00000, 30.0,0.9956609876366800,-0.084301558,0.0394010780432536,-0.6005046934079600,-0.74593258,-0.3233493980843189,-0.6005046934079600,-0.813000765,0.0000476675113814
39362,39362, o5330g0521o.167592.cm, ./ecliptic-cat/ecliptic/23:00hr/o5330g0521o.167592/o5330g0521o.167592.cm.468860.smf, PS1_V3, 2455331.1026386307, 357.592328, 0.93419, w.00000, 30.0,0.9989844127258142,-0.042003854,0.0163039689342412,-0.6004975383387309,-0.745937426,-0.3233515205934445,-0.6004975383387309,-0.813006056,0.0000476477456021
39894,39894, o5332g0455o.168547.cm, ./ecliptic-cat/ecliptic/23:00hr/o5332g0455o.168547/o5332g0455o.168547.cm.468956.smf, PS1_V3, 2455333.0965106804, 352.575913, 0.698968, w.00000, 30.0,0.9915431427488750,-0.129202866,0.0121989903796124,-0.5731127733432754,-0.764331074,-0.3313244330477809,-0.5731127733432754,-0.83305334,0.0000492166213312
39895,39895, o5332g0456o.168549.cm, ./smf_downloads/SS.2010-05-16/o5332g0456o.168549.cm.468961.smf, PS1_V3, 2455333.097019776, 352.6467, -2.080343, w.00000, 30.0,0.9911221374121933,-0.127902918,-0.0363008575999120,-0.5731055781567637,-0.76433561,-0.3313264207382309,-0.5731055781567637,-0.833058293,0.0000491973311259
39896,39896, o5332g0457o.168550.cm, ./ecliptic-cat/ecliptic/23:00hr/o5332g0457o.168550/o5332g0457o.168550.cm.468963.smf, PS1_V3, 2455333.097547933, 355.060428, -0.699068, w.00000, 30.0,0.9962119090541980,-0.086098631,-0.0122007355789751,-0.5730981136866387,-0.764340315,-0.3313284828265909,-0.5730981136866387,-0.83306343,0.0000491771595757
39897,39897, o5332g0458o.168551.cm, ./smf_downloads/SS.2010-05-16/o5332g0458o.168551.cm.468966.smf, PS1_V3, 2455333.0981058064, 355.011219, 2.114749, w.00000, 30.0,0.9955332527995300,-0.086901451,0.0369009532170654,-0.5730902293736801,-0.764345285,-0.3313306609069016,-0.5730902293736801,-0.833068856,0.0000491556774240
39898,39898, o5332g0459o.168552.cm, ./smf_downloads/SS.2010-05-16/o5332g0459o.168552.cm.468971.smf, PS1_V3, 2455333.0986365234, 357.512386, 0.70482, w.00000, 30.0,0.9989820373935968,-0.043400132,0.0123011193835967,-0.5730827289894583,-0.764350013,-0.3313327329337589,-0.5730827289894583,-0.833074018,0.0000491350737202
39907,39907, o5332g0468o.168561.cm, ./smf_downloads/SS.2010-05-16/o5332g0468o.168561.cm.468998.smf, PS1_V3, 2455333.103559224, 352.575973, 0.699105, w.00000, 30.0,0.9915432491219252,-0.129201824,0.0122013813027298,-0.5730131650683985,-0.764393839,-0.3313519508653671,-0.5730131650683985,-0.833121872,0.0000489362331133
39908,39908, o5332g0469o.168562.cm, ./smf_downloads/SS.2010-05-16/o5332g0469o.168562.cm.468999.smf, PS1_V3, 2455333.1040696222, 352.646835, -2.080388, w.00000, 30.0,0.9911224104971289,-0.127900579,-0.0363016424804135,-0.5730059531870386,-0.764398381,-0.3313539432966515,-0.5730059531870386,-0.833126832,0.0000489148228795
